,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_num_nodes_saved
124,random_allocation,6,0.05,0.06,3.05
125,random_allocation,6,0.06,0.06,2.85
126,random_allocation,6,0.07,0.06,2.3
127,random_allocation,6,0.08,0.06,2.95
128,random_allocation,6,0.09,0.06,2.9
129,random_allocation,6,0.1,0.06,3.1
130,random_allocation,6,0.01,0.07,2.65
131,random_allocation,6,0.02,0.07,2.45
132,random_allocation,6,0.03,0.07,2.5
133,random_allocation,6,0.04,0.07,2.65
134,random_allocation,6,0.05,0.07,2.95
135,random_allocation,6,0.06,0.07,2.65
136,random_allocation,6,0.07,0.07,2.5
137,random_allocation,6,0.08,0.07,2.45
138,random_allocation,6,0.09,0.07,2.45
139,random_allocation,6,0.1,0.07,2.35
140,random_allocation,6,0.01,0.08,2.35
141,random_allocation,6,0.02,0.08,2.65
142,random_allocation,6,0.03,0.08,2.6
143,random_allocation,6,0.04,0.08,2.85
144,random_allocation,6,0.05,0.08,2.65
145,random_allocation,6,0.06,0.08,2.8
146,random_allocation,6,0.07,0.08,3.15
147,random_allocation,6,0.08,0.08,2.95
148,random_allocation,6,0.09,0.08,2.6
149,random_allocation,6,0.1,0.08,2.6
150,random_allocation,6,0.01,0.09,2.25
151,random_allocation,6,0.02,0.09,2.75
152,random_allocation,6,0.03,0.09,2.55
153,random_allocation,6,0.04,0.09,2.6
154,random_allocation,6,0.05,0.09,2.8
155,random_allocation,6,0.06,0.09,2.35
156,random_allocation,6,0.07,0.09,2.3
157,random_allocation,6,0.08,0.09,2.75
158,random_allocation,6,0.09,0.09,2.95
159,random_allocation,6,0.1,0.09,2.25
160,random_allocation,6,0.01,0.1,2.8
161,random_allocation,6,0.02,0.1,2.65
162,random_allocation,6,0.03,0.1,2.4
163,random_allocation,6,0.04,0.1,3.2
164,random_allocation,6,0.05,0.1,2.7
165,random_allocation,6,0.06,0.1,2.35
166,random_allocation,6,0.07,0.1,2.75
167,random_allocation,6,0.08,0.1,2.7
168,random_allocation,6,0.09,0.1,2.75
169,random_allocation,6,0.1,0.1,2.6
170,random_allocation,6,0.01,0.11,2.75
171,random_allocation,6,0.02,0.11,2.5
172,random_allocation,6,0.03,0.11,2.6
173,random_allocation,6,0.04,0.11,2.45
174,random_allocation,6,0.05,0.11,2.75
175,random_allocation,6,0.06,0.11,2.85
176,random_allocation,6,0.07,0.11,2.85
177,random_allocation,6,0.08,0.11,2.85
178,random_allocation,6,0.09,0.11,2.35
179,random_allocation,6,0.1,0.11,2.5
180,random_allocation,6,0.01,0.12,2.25
181,random_allocation,6,0.02,0.12,2.5
182,random_allocation,6,0.03,0.12,2.65
183,random_allocation,6,0.04,0.12,2.6
184,random_allocation,6,0.05,0.12,2.45
185,random_allocation,6,0.06,0.12,2.0
186,random_allocation,6,0.07,0.12,2.4
187,random_allocation,6,0.08,0.12,2.45
188,random_allocation,6,0.09,0.12,2.5
189,random_allocation,6,0.1,0.12,2.7
190,random_allocation,6,0.01,0.13,2.45
