graph_name,num_nodes,num_edges,graph_density,mean_degree,median_degree,degree_std,iqr_degree,degree_amd,node_connectivity,average_clustering,adjacency_matrix_rank,incidence_matrix_rank,laplacian_matrix_rank,bethe_hessian_matrix_rank,modularity_matrix_rank,wiener_index,is_AT_free,has_bridge,is_chordal,clique_number,transitivity,edge_connectivity,node_connectivity,is_distance_regular,local_efficiency,global_efficiency,is_eulerian,is_semi_eulerian
randomRegular_1000_3_9.adjlist,1000,1500,0.003003003003003003,3.0,3.0,0,0.0,0.0,3,0.004,1,1,1,1,999,4035065.0,False,False,False,3,0.004,3,3,False,0.004,0.13531425503664138,False,False
fastGnp_1000_0.01_24.adjlist,1000,4911,0.009831831831831832,9.822,10.0,9.582316,4.0,2.5088999999999997,1,0.009990524190291993,1,1,1,1,999,1639128.0,False,True,False,3,0.009726494305428547,1,1,False,0.010358016828372866,0.32255031698358066,False,False
randomRegular_1000_3_1.adjlist,1000,1500,0.003003003003003003,3.0,3.0,0,0.0,0.0,3,0.001,1,1,1,1,999,4033203.0,False,False,False,3,0.001,3,3,False,0.001,0.13540932835949784,False,False
randomRegular_100_5_2.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.021000000000000005,1,1,1,1,99,14972.0,False,False,False,3,0.021,5,5,False,0.022000000000000006,0.37239393939396237,False,False
randomRegular_100_3_28.adjlist,100,150,0.030303030303030304,3.0,3.0,0,0.0,0.0,3,0.0,1,1,1,1,99,23756.0,False,False,False,2,0.0,3,3,False,0.0,0.25124971941638485,False,False
fastGnp_20_0.2_17.adjlist,20,42,0.22105263157894736,4.2,4.0,2.66,1.25,1.2200000000000002,0,0.2173809523809524,1,1,1,1,18,inf,False,True,False,3,0.2422360248447205,0,0,False,0.2697440476190477,0.460526315789474,False,False
fastGnp_1000_0.01_28.adjlist,1000,5040,0.01009009009009009,10.08,10.0,10.2976,4.0,2.55784,2,0.011980144219385704,1,1,1,1,999,1620629.0,False,False,False,3,0.010960087994971716,2,2,False,0.012647346309807612,0.3261300633965085,False,False
randomRegular_1000_3_5.adjlist,1000,1500,0.003003003003003003,3.0,3.0,0,0.0,0.0,3,0.0019999999999999996,1,1,1,1,999,4028304.0,False,False,False,3,0.002,3,3,False,0.0019999999999999996,0.13553326007232286,False,False
fastGnp_20_0.2_13.adjlist,20,41,0.21578947368421053,4.1,3.0,4.89,2.25,1.8199999999999996,1,0.3457936507936508,1,1,1,1,18,414.0,False,True,False,4,0.3409090909090909,1,1,False,0.4257301587301587,0.5456140350877201,False,False
randomRegular_100_5_6.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.048,1,1,1,1,99,15213.0,False,False,False,3,0.048,5,5,False,0.05366666666666665,0.3678855218855424,False,False
powerLawTree_100_3_15.adjlist,100,99,0.02,1.98,1.0,12.099600000000002,1.0,1.1367999999999998,1,0.0,1,1,1,1,57,71683.0,True,True,True,2,0.0,1,1,False,0.0,0.18185305090061427,False,False
