,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_time
93,random_allocation,5,0.04,0.14,5.003213882446289e-05
94,random_allocation,5,0.05,0.14,5.645751953125e-05
95,random_allocation,5,0.06,0.14,5.038976669311523e-05
96,random_allocation,5,0.07,0.14,5.162954330444336e-05
97,random_allocation,5,0.08,0.14,5.027055740356445e-05
98,random_allocation,5,0.09,0.14,5.042552947998047e-05
99,random_allocation,5,0.1,0.14,6.161928176879883e-05
100,random_allocation,5,0.01,0.15,5.441904067993164e-05
101,random_allocation,5,0.02,0.15,5.272626876831055e-05
102,random_allocation,5,0.03,0.15,6.018877029418945e-05
103,random_allocation,5,0.04,0.15,5.950927734375e-05
104,random_allocation,5,0.05,0.15,4.985332489013672e-05
105,random_allocation,5,0.06,0.15,5.3989887237548825e-05
106,random_allocation,5,0.07,0.15,4.763603210449219e-05
107,random_allocation,5,0.08,0.15,5.131959915161133e-05
108,random_allocation,5,0.09,0.15,4.640817642211914e-05
109,random_allocation,5,0.1,0.15,5.670785903930664e-05
110,random_allocation,6,0.01,0.05,6.337165832519532e-05
111,random_allocation,6,0.02,0.05,6.012916564941406e-05
112,random_allocation,6,0.03,0.05,6.377696990966797e-05
113,random_allocation,6,0.04,0.05,6.947517395019531e-05
114,random_allocation,6,0.05,0.05,6.897449493408203e-05
115,random_allocation,6,0.06,0.05,6.916522979736329e-05
116,random_allocation,6,0.07,0.05,5.708932876586914e-05
117,random_allocation,6,0.08,0.05,6.632804870605468e-05
118,random_allocation,6,0.09,0.05,6.486177444458008e-05
119,random_allocation,6,0.1,0.05,6.569623947143555e-05
120,random_allocation,6,0.01,0.06,6.290674209594727e-05
121,random_allocation,6,0.02,0.06,7.466077804565429e-05
122,random_allocation,6,0.03,0.06,6.552934646606446e-05
123,random_allocation,6,0.04,0.06,5.8543682098388675e-05
124,random_allocation,6,0.05,0.06,6.695985794067383e-05
125,random_allocation,6,0.06,0.06,6.639957427978516e-05
126,random_allocation,6,0.07,0.06,7.721185684204102e-05
127,random_allocation,6,0.08,0.06,5.9604644775390625e-05
128,random_allocation,6,0.09,0.06,7.445812225341797e-05
129,random_allocation,6,0.1,0.06,7.978677749633789e-05
130,random_allocation,6,0.01,0.07,6.897449493408203e-05
131,random_allocation,6,0.02,0.07,6.81757926940918e-05
132,random_allocation,6,0.03,0.07,6.809234619140626e-05
133,random_allocation,6,0.04,0.07,6.511211395263672e-05
134,random_allocation,6,0.05,0.07,6.356239318847657e-05
135,random_allocation,6,0.06,0.07,6.66499137878418e-05
136,random_allocation,6,0.07,0.07,6.021261215209961e-05
137,random_allocation,6,0.08,0.07,6.687641143798828e-05
138,random_allocation,6,0.09,0.07,7.486343383789062e-05
139,random_allocation,6,0.1,0.07,6.757974624633789e-05
140,random_allocation,6,0.01,0.08,6.837844848632813e-05
141,random_allocation,6,0.02,0.08,6.421804428100586e-05
142,random_allocation,6,0.03,0.08,6.456375122070313e-05
143,random_allocation,6,0.04,0.08,7.11679458618164e-05
144,random_allocation,6,0.05,0.08,6.172657012939453e-05
145,random_allocation,6,0.06,0.08,5.73277473449707e-05
146,random_allocation,6,0.07,0.08,6.592273712158203e-05
147,random_allocation,6,0.08,0.08,6.575584411621094e-05
148,random_allocation,6,0.09,0.08,6.924867630004883e-05
149,random_allocation,6,0.1,0.08,6.172657012939453e-05
150,random_allocation,6,0.01,0.09,7.35163688659668e-05
151,random_allocation,6,0.02,0.09,6.0510635375976565e-05
152,random_allocation,6,0.03,0.09,6.409883499145508e-05
153,random_allocation,6,0.04,0.09,6.525516510009765e-05
154,random_allocation,6,0.05,0.09,6.220340728759765e-05
155,random_allocation,6,0.06,0.09,6.859302520751953e-05
156,random_allocation,6,0.07,0.09,7.052421569824219e-05
157,random_allocation,6,0.08,0.09,7.185935974121093e-05
158,random_allocation,6,0.09,0.09,6.363391876220703e-05
159,random_allocation,6,0.1,0.09,7.139444351196289e-05
160,random_allocation,6,0.01,0.1,6.704330444335937e-05
161,random_allocation,6,0.02,0.1,6.365776062011719e-05
162,random_allocation,6,0.03,0.1,6.930828094482422e-05
163,random_allocation,6,0.04,0.1,6.390810012817383e-05
164,random_allocation,6,0.05,0.1,6.160736083984374e-05
165,random_allocation,6,0.06,0.1,6.61611557006836e-05
166,random_allocation,6,0.07,0.1,7.028579711914063e-05
167,random_allocation,6,0.08,0.1,6.489753723144531e-05
168,random_allocation,6,0.09,0.1,6.672143936157227e-05
169,random_allocation,6,0.1,0.1,6.849765777587891e-05
170,random_allocation,6,0.01,0.11,6.92605972290039e-05
171,random_allocation,6,0.02,0.11,7.176399230957031e-05
172,random_allocation,6,0.03,0.11,6.597042083740234e-05
173,random_allocation,6,0.04,0.11,7.104873657226562e-05
